status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,64934d0a183a8,Kootzcam,inne,1920x1080,14.99,h264,86bsrqboodj258rfp,http://s134.ipcamlive.com/,https://s134.ipcamlive.com/streams/86bsrqboodj258rfp/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/64934d0a183a8,segment OK
ONLINE,laurelwoodgreen,Laurelwood Golf - green,inne,1920x1080,29.94,h264,3fsebgji7wvmx4gfu,http://s63.ipcamlive.com/,https://s63.ipcamlive.com/streams/3fsebgji7wvmx4gfu/stream.m3u8,ONLINE,https://www.ipcamlive.com/laurelwoodgreen,segment OK
ONLINE,5ce3a15e49e58,Morningstar North,inne,704x576,19.49,h264,ad0wczzylfnsnm54k,http://s173.ipcamlive.com/,https://s173.ipcamlive.com/streams/ad0wczzylfnsnm54k/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5ce3a15e49e58,segment OK
ONLINE,ozogolfclub,Ozo Golf Club,inne,2688x1520,25.00,h265,7ahq6k5ogqlshncu4,http://s122.ipcamlive.com/,https://s122.ipcamlive.com/streams/7ahq6k5ogqlshncu4/stream.m3u8,ONLINE,https://www.ipcamlive.com/ozogolfclub,segment OK
ONLINE,5bc206bd09b49,Public IPCamLive camera,inne,1280x720,25.00,h264,3foaz9fxshrltgiwb,http://s63.ipcamlive.com/,https://s63.ipcamlive.com/streams/3foaz9fxshrltgiwb/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5bc206bd09b49,segment OK
ONLINE,5746774011783,Public IPCamLive camera,inne,1280x720,14.69,h265,24dbskbyltwccpfft,http://s36.ipcamlive.com/,https://s36.ipcamlive.com/streams/24dbskbyltwccpfft/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5746774011783,segment OK
ONLINE,67ffd07062ee5,Public IPCamLive camera,inne,1920x1080,30.00,h265,8cwyfeoxcvpz8dpxf,http://s140.ipcamlive.com/,https://s140.ipcamlive.com/streams/8cwyfeoxcvpz8dpxf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/67ffd07062ee5,segment OK
ONLINE,64ea30cf0d7be,Public IPCamLive camera,inne,1920x1080,25.00,h265,a0aumqvhtyulccpqh,http://s160.ipcamlive.com/,https://s160.ipcamlive.com/streams/a0aumqvhtyulccpqh/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/64ea30cf0d7be,segment OK
ONLINE,5d42fff5d1dab,Public IPCamLive page,inne,640x360,10.20,h264,451pagthjexr08yi6,http://s69.ipcamlive.com/,https://s69.ipcamlive.com/streams/451pagthjexr08yi6/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5d42fff5d1dab,segment OK
ONLINE,5a8f2c6c318d9,Public IPCamLive page,inne,1280x720,15.92,h264,5ba47tgcgmj0eyswu,http://s91.ipcamlive.com/,https://s91.ipcamlive.com/streams/5ba47tgcgmj0eyswu/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5a8f2c6c318d9,segment OK
ONLINE,65e8fcfbcbd5c,Public IPCamLive page,inne,3840x2160,20.00,h265,73xdqg6a9vzmojxcb,http://s115.ipcamlive.com/,https://s115.ipcamlive.com/streams/73xdqg6a9vzmojxcb/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/65e8fcfbcbd5c,segment OK
ONLINE,66a7fb01a47a4,Public IPCamLive page,inne,1920x1080,29.94,h264,28lv8u0twwobd7mp1,http://s40.ipcamlive.com/,https://s40.ipcamlive.com/streams/28lv8u0twwobd7mp1/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/66a7fb01a47a4,segment OK
ONLINE,67d43b806ac05,Public IPCamLive page,inne,1920x1080,19.27,h264,4aj5vz6esqp4miy82,http://s74.ipcamlive.com/,https://s74.ipcamlive.com/streams/4aj5vz6esqp4miy82/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/67d43b806ac05,segment OK
ONLINE,687610ea2603d,Public IPCamLive page,inne,1280x720,20.88,h264,9awm6insjxnt12qbd,http://s154.ipcamlive.com/,https://s154.ipcamlive.com/streams/9awm6insjxnt12qbd/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/687610ea2603d,segment OK
ONLINE,sanddollar,Sanddollar Sity,inne,1280x720,29.94,h264,47xyi3jtkovwj09pm,http://s71.ipcamlive.com/,https://s71.ipcamlive.com/streams/47xyi3jtkovwj09pm/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/sanddollar,segment OK
ONLINE,scgymcamera,SC Gym Camera,inne,1920x1080,30.03,h264,36lbzscaqio25kyvg,http://s54.ipcamlive.com/,https://s54.ipcamlive.com/streams/36lbzscaqio25kyvg/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/scgymcamera,segment OK
ONLINE,seymourloadoutwest,Seymour Loadout West,inne,1280x720,14.99,h264,43pjfublmrbyqjhxw,http://s67.ipcamlive.com/,https://s67.ipcamlive.com/streams/43pjfublmrbyqjhxw/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/seymourloadoutwest,segment OK
ONLINE,solvallabankamera,Solvalla - kamera toru,inne,1920x1080,25.00,h264,4cjsybl8dchmik3gf,http://s76.ipcamlive.com/,https://s76.ipcamlive.com/streams/4cjsybl8dchmik3gf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/solvallabankamera,segment OK
ONLINE,kildysartchurch,St Michael's Church,inne,1920x1080,14.99,h264,371kehxib5dvxvcr7,http://s55.ipcamlive.com/,https://s55.ipcamlive.com/streams/371kehxib5dvxvcr7/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/kildysartchurch,segment OK
ONLINE,551011cd5abd5,"Stork Webcam Eitminiskes, Lithuania",inne,1920x1080,20.83,h264,adao9hgvnbiatkdpc,http://s173.ipcamlive.com/,https://s173.ipcamlive.com/streams/adao9hgvnbiatkdpc/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/551011cd5abd5,segment OK
ONLINE,tullaparish,Tulla Church,inne,1920x1080,14.99,h264,64kmujeavrssqt4mi,http://s100.ipcamlive.com/,https://s100.ipcamlive.com/streams/64kmujeavrssqt4mi/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/tullaparish,segment OK
ONLINE,5fa166211b9a5,Tórshavn,inne,1920x1080,14.71,h264,2enmouw84k06nxadg,http://s46.ipcamlive.com/,https://s46.ipcamlive.com/streams/2enmouw84k06nxadg/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5fa166211b9a5,segment OK
ONLINE,64543e68da21a,USA - Pine Grove Resort,inne,640x480,10.80,mjpeg,6050lhk6somqtjvur,http://s96.ipcamlive.com/,https://s96.ipcamlive.com/streams/6050lhk6somqtjvur/stream.m3u8,ONLINE,https://www.ipcamlive.com/64543e68da21a,segment OK
